Avance|FechaAvance|Partido|TotalVotos|PerValidos|PerEmitidos
94.906|07/06/2021 22:18 h|VOTOS EN BLANCO|117,701|0|0.647
94.906|07/06/2021 22:18 h|VOTOS NULOS|1,029,198|0|5.655
94.906|07/06/2021 22:48 h|FUERZA POPULAR|8,477,047|49.712|46.580
94.906|07/06/2021 22:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,575,142|50.288|47.119
94.906|07/06/2021 22:48 h|TOTAL DE VOTOS EMITIDOS|18,199,088|0|100.000
94.906|07/06/2021 22:48 h|TOTAL DE VOTOS VÁLIDOS|17,052,189|100.000|93.698
94.906|07/06/2021 22:48 h|VOTOS EN BLANCO|117,701|0|0.647
94.906|07/06/2021 22:48 h|VOTOS NULOS|1,029,198|0|5.655
94.915|07/06/2021 23:48 h|FUERZA POPULAR|8,477,654|49.713|46.580
94.915|07/06/2021 23:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,575,666|50.287|47.118
94.915|07/06/2021 23:48 h|TOTAL DE VOTOS EMITIDOS|18,200,343|0|100.000
94.915|07/06/2021 23:48 h|TOTAL DE VOTOS VÁLIDOS|17,053,320|100.000|93.698
94.915|07/06/2021 23:48 h|VOTOS EN BLANCO|117,743|0|0.647
94.915|07/06/2021 23:48 h|VOTOS NULOS|1,029,280|0|5.655
94.915|08/06/2021 00:19 h|FUERZA POPULAR|8,477,654|49.713|46.580
94.915|08/06/2021 00:19 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,575,666|50.287|47.118
94.915|08/06/2021 00:19 h|TOTAL DE VOTOS EMITIDOS|18,200,343|0|100.000
94.915|08/06/2021 00:19 h|TOTAL DE VOTOS VÁLIDOS|17,053,320|100.000|93.698
94.915|08/06/2021 00:19 h|VOTOS EN BLANCO|117,743|0|0.647
94.915|08/06/2021 00:19 h|VOTOS NULOS|1,029,280|0|5.655
94.916|07/06/2021 23:18 h|FUERZA POPULAR|8,477,744|49.713|46.580
94.916|07/06/2021 23:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,575,756|50.287|47.118
94.916|07/06/2021 23:18 h|TOTAL DE VOTOS EMITIDOS|18,200,540|0|100.000
